order_id,order_date,customer_id,customer_segment,customer_type,region,city,product_category,product_subcategory,payment_method,campaign_source,quantity,unit_price,discount_pct,discount_tier,order_value,order_value_tier,shipping_days,delivery_group,returned
O2025001,2025-04-25,C1198,Consumer,VIP,South,Helsingborg,Beauty,Skincare,Card,Organic,4,33.9,0.182,Medium (11-25%),110.9208,Medium,3,Medium (3-5d),1
O2025002,2025-12-26,C1212,Corporate,New,South,Malmö,Fashion,Sportswear,Card,Organic,1,91.08,0.013,Low (1-10%),89.89596,Medium,2,Fast (1-2d),0
O2025003,2025-11-06,C1096,Consumer,Returning,North,Uppsala,Sports,Fitness,Paypal,Organic,1,190.22,0,No discount,190.22,High,3,Medium (3-5d),0
O2025004,2025-10-09,C1160,Consumer,New,East,Örebro,Fashion,Shoes,Paypal,Affiliate,1,144.56,0.042,Low (1-10%),138.48848,Medium,5,Medium (3-5d),0
O2025005,2025-05-02,C1063,Consumer,Returning,East,Linköping,Beauty,Skincare,Invoice,Paid Search,2,52.01,0.091,Low (1-10%),94.55418,Medium,4,Medium (3-5d),0
O2025006,2025-11-21,C1093,Small Business,Returning,West,Borås,Fashion,Shoes,Card,Paid Search,3,120.84,0.064,Low (1-10%),339.31872,High,4,Medium (3-5d),1
O2025007,2025-02-27,C1238,Small Business,Returning,West,Göteborg,Fashion,Shoes,Gift Card,Organic,1,97.55,0.055,Low (1-10%),92.18475,Medium,1,Fast (1-2d),0
O2025008,2025-06-19,C1218,Consumer,VIP,North,Västerås,Home,Furniture,Invoice,Affiliate,1,1051.52,0.12,Medium (11-25%),925.3376,Premium,5,Medium (3-5d),0
O2025009,2025-03-18,C1240,Consumer,Returning,South,Lund,Fashion,Sportswear,Card,Organic,4,82.84,0.041,Low (1-10%),317.77424,High,3,Medium (3-5d),0
O2025010,2025-01-01,C1129,Small Business,New,North,Västerås,Home,Kitchen,Invoice,Social,2,164.19,0.058,Low (1-10%),309.33396,High,5,Medium (3-5d),0
O2025011,2025-07-22,C1046,Corporate,New,North,Stockholm,Beauty,Haircare,Gift Card,Social,1,38.97,0.028,Low (1-10%),37.87884,Low,2,Fast (1-2d),0
O2025012,2025-01-15,C1093,Small Business,Returning,West,Borås,Sports,Team Sports,Invoice,Social,1,105.58,0.045,Low (1-10%),100.82889999999999,Medium,4,Medium (3-5d),0
O2025013,2025-05-27,C1089,Consumer,Returning,South,Lund,Fashion,Jackets,Swish,Social,1,203.5,0.055,Low (1-10%),192.30749999999998,High,2,Fast (1-2d),0
O2025014,2025-02-15,C1042,Consumer,Returning,North,Uppsala,Home,Lighting,Card,Email,1,162.61,0.137,Medium (11-25%),140.33243000000002,Medium,4,Medium (3-5d),0
O2025015,2025-09-28,C1052,Consumer,Returning,West,Borås,Sports,Team Sports,Card,Social,1,96.08,0.088,Low (1-10%),87.62496,Medium,3,Medium (3-5d),0
O2025016,2025-12-14,C1141,Small Business,Returning,South,Malmö,Beauty,Skincare,Paypal,Direct,1,44.96,0.002,Low (1-10%),44.87008,Low,5,Medium (3-5d),0
O2025017,2025-06-11,C1164,Corporate,Returning,East,Linköping,Home,Kitchen,Swish,Direct,2,81.77,0.032,Low (1-10%),158.30671999999998,High,5,Medium (3-5d),0
O2025018,2025-11-30,C1162,Consumer,Returning,South,Helsingborg,Fashion,Jackets,Card,Paid Search,1,175.92,0.143,Medium (11-25%),150.76343999999997,Medium,3,Medium (3-5d),0
O2025019,2025-07-28,C1043,Corporate,New,South,Lund,Beauty,Fragrance,Card,Organic,1,73.27,0,No discount,73.27,Low,2,Fast (1-2d),0
O2025020,2025-01-10,C1109,Small Business,Returning,South,Stockholm,Beauty,Makeup,Card,Affiliate,1,45.73,0.107,Medium (11-25%),40.83689,Low,3,Medium (3-5d),0
O2025021,2025-12-24,C1184,Small Business,Returning,North,Västerås,Fashion,Sportswear,Swish,Social,1,90.24,0.014,Low (1-10%),88.97663999999999,Medium,4,Medium (3-5d),1
O2025022,2025-09-07,C1189,Consumer,New,South,Helsingborg,Home,Kitchen,Card,Social,1,143.93,0.068,Low (1-10%),134.14276,Medium,3,Medium (3-5d),0
O2025023,2025-06-18,C1243,Consumer,Returning,East,Linköping,Sports,Outdoor,Card,Direct,2,109.34,0.043,Low (1-10%),209.27676,High,6,Slow(6-9d),0
O2025024,2025-04-23,C1138,Consumer,New,North,Stockholm,Fashion,Shoes,Swish,Social,2,103.55,0.036,Low (1-10%),199.6444,High,2,Fast (1-2d),0
